crop,rainfall_mm,temperature_c,humidity_percent,soil_ph,fertilizer_kg_per_ha,yield_t_per_ha
soybean,301.6,28.19,70.4,6.34,268.8,1.791
sugarcane,829.8,25.89,73.1,6.19,95.9,42.861
maize,850.1,32.09,50.0,5.85,137.9,3.695
sugarcane,432.3,39.06,52.2,5.88,170.5,36.769
sugarcane,948.1,30.22,46.9,6.76,70.9,38.65
rice,537.5,30.69,51.7,5.45,116.9,2.996
maize,672.2,25.78,22.2,7.3,159.0,3.696
maize,665.1,24.15,73.2,6.07,153.7,5.115
maize,566.4,22.15,95.8,6.38,252.4,4.907
sugarcane,802.7,20.04,67.2,5.43,273.3,59.3
soybean,798.4,20.88,43.8,6.49,81.5,1.604
maize,162.9,16.9,55.4,6.24,158.9,2.02
sugarcane,926.1,24.54,58.1,6.46,203.9,57.697
rice,184.4,14.89,49.7,7.68,271.3,2.499
soybean,858.1,26.15,77.9,6.64,207.5,3.022
rice,881.7,24.78,77.2,5.86,173.3,3.661
soybean,327.3,25.88,47.7,5.93,203.3,1.904
sugarcane,497.3,21.87,75.9,6.98,203.9,46.003
wheat,323.6,43.46,87.9,7.54,75.8,1.063
soybean,546.3,33.16,93.5,6.73,165.4,1.122
rice,523.0,17.53,100.0,7.05,266.7,1.313
sugarcane,794.9,26.4,51.5,6.99,133.4,65.421
soybean,927.6,21.35,100.0,7.64,160.4,0.933
wheat,948.9,18.91,59.7,4.94,130.6,1.924
wheat,459.5,16.96,56.1,7.03,0.0,0.97
maize,547.7,27.59,69.9,7.29,151.6,3.545
maize,179.1,20.91,56.3,5.43,174.1,4.209
rice,398.5,30.81,71.0,5.79,109.0,2.737
soybean,841.2,30.96,45.2,5.82,57.6,1.039
soybean,1003.9,33.24,61.4,5.92,79.6,1.141
maize,291.4,19.89,84.3,6.11,211.1,2.84
soybean,451.9,27.85,64.1,6.69,307.8,2.035
soybean,593.4,28.79,67.1,7.19,260.6,2.039
wheat,670.0,22.15,72.1,7.37,42.5,2.791
maize,397.6,20.37,82.6,5.83,218.4,2.261
sugarcane,706.0,34.66,40.2,5.82,96.9,33.195
maize,481.5,26.36,73.8,7.55,103.4,3.538
sugarcane,596.4,28.82,61.0,7.02,113.0,55.214
wheat,736.6,20.07,67.5,6.57,206.5,2.741
rice,601.6,17.68,80.9,6.88,226.7,3.093
soybean,490.9,21.58,47.1,6.48,142.2,1.819
wheat,572.6,24.26,49.8,6.92,143.5,2.162
soybean,577.9,18.61,36.0,6.23,187.1,1.905
rice,507.5,24.94,56.8,6.72,195.4,4.192
rice,535.3,14.87,85.0,5.29,244.1,2.808
wheat,999.7,18.28,63.2,5.95,47.3,2.39
rice,740.2,29.03,44.9,5.96,151.6,3.44
sugarcane,526.1,28.62,57.7,6.2,64.6,54.247
rice,774.2,22.65,42.7,5.76,145.9,3.569
soybean,516.5,18.89,48.1,6.07,131.9,1.413
soybean,893.3,18.84,70.8,5.29,146.3,1.566
soybean,692.4,22.76,47.4,6.94,86.0,1.661
soybean,573.2,28.87,81.7,6.43,31.0,1.133
sugarcane,711.9,30.57,63.9,5.14,0.0,44.687
maize,207.3,22.02,66.3,5.83,139.5,3.624
wheat,318.3,18.08,60.8,6.77,115.5,1.893
soybean,301.5,26.61,76.6,6.07,95.9,1.663
rice,635.7,20.06,76.7,5.94,255.8,5.089
soybean,1033.1,21.89,70.0,6.44,81.2,1.379
rice,1157.8,32.95,73.5,6.77,263.3,2.356
rice,759.5,29.96,61.8,5.35,279.9,2.525
soybean,725.2,25.95,73.1,6.94,0.0,1.023
sugarcane,149.7,17.37,59.9,5.86,157.4,36.002
rice,464.3,26.27,65.0,6.49,118.0,3.06
rice,403.1,31.38,60.9,6.47,0.0,1.676
soybean,444.8,22.75,58.1,6.08,34.4,1.397
rice,558.0,33.11,54.7,5.68,212.0,2.263
rice,482.0,32.76,72.0,6.27,311.5,2.898
soybean,105.2,34.98,84.7,7.8,222.2,1.512
soybean,787.0,26.83,82.6,5.41,175.9,2.139
wheat,331.8,28.52,46.2,7.85,148.3,2.42
sugarcane,659.8,33.49,84.3,6.29,284.6,48.614
sugarcane,1118.5,27.68,60.2,6.53,321.9,68.297
rice,370.2,21.99,74.0,5.63,103.1,2.716
sugarcane,0.0,22.31,51.4,5.88,0.0,23.05
rice,528.5,26.43,67.1,6.1,0.0,1.765
wheat,875.2,17.26,69.7,5.66,255.8,1.877
soybean,1089.6,24.14,42.7,6.33,146.2,2.27
soybean,292.6,31.58,74.1,6.17,164.7,1.517
soybean,724.2,11.85,85.2,7.98,6.7,1.333
sugarcane,483.7,34.21,62.4,5.57,89.7,23.372
wheat,573.5,31.73,85.4,6.58,126.4,2.608
sugarcane,1261.1,22.24,62.2,6.7,166.6,55.687
sugarcane,224.3,28.26,77.7,5.64,118.1,28.972
wheat,663.4,25.02,31.7,7.05,67.0,1.883
wheat,716.9,32.38,100.0,6.18,87.2,2.91
wheat,871.4,30.9,87.4,4.51,246.7,1.797
wheat,624.5,16.6,60.7,7.03,169.6,1.767
soybean,677.0,28.52,35.4,5.61,199.0,1.686
maize,502.1,23.77,69.3,5.66,78.1,3.574
maize,667.3,25.5,43.3,7.05,0.0,1.914
wheat,514.2,20.63,71.7,6.22,108.2,2.267
maize,755.4,35.49,71.2,7.23,80.7,3.544
maize,507.6,31.24,50.9,7.47,177.9,3.654
wheat,694.3,20.56,81.8,5.98,412.9,2.15
maize,592.7,16.99,77.1,7.13,205.6,2.989
sugarcane,881.5,22.69,79.6,5.9,368.9,56.415
rice,587.2,27.61,65.1,8.29,195.5,3.171
rice,156.7,26.44,43.8,5.95,99.6,3.248
wheat,915.5,32.52,79.7,7.32,177.8,1.961
soybean,373.6,29.74,60.9,7.18,292.5,1.686
wheat,436.6,30.82,44.2,6.75,296.4,2.981
soybean,451.1,26.96,85.3,5.96,104.0,1.91
rice,943.6,16.66,96.5,6.38,170.3,2.852
wheat,66.1,23.83,64.4,4.78,35.7,2.442
sugarcane,1384.4,31.36,97.4,6.68,216.0,48.793
maize,864.0,24.69,66.4,6.78,274.3,4.12
soybean,655.8,28.02,59.3,6.61,153.2,2.211
maize,586.3,23.09,55.5,4.12,96.6,1.853
maize,671.4,18.82,89.6,5.49,178.8,3.779
wheat,730.3,24.26,53.3,5.9,183.4,2.083
maize,761.3,26.85,76.0,6.73,156.5,4.264
sugarcane,738.9,21.07,56.6,6.73,164.3,48.263
maize,622.4,23.59,58.1,6.36,136.1,3.87
wheat,550.7,19.36,80.5,7.01,229.7,2.105
sugarcane,562.2,31.72,59.3,5.68,208.9,51.707
rice,551.3,23.23,58.9,6.99,71.4,2.513
maize,883.4,33.72,82.0,6.88,69.2,3.28
wheat,748.4,34.17,89.0,6.8,129.7,1.327
rice,0.0,24.51,74.7,6.35,208.9,1.886
rice,764.0,18.95,55.2,7.96,161.8,2.961
soybean,648.7,12.48,57.3,6.89,98.5,0.825
sugarcane,595.3,16.17,66.2,5.73,170.9,25.3
maize,502.9,16.76,69.8,6.7,123.5,3.435
wheat,881.0,33.27,50.2,7.1,220.4,2.488
soybean,836.9,25.69,75.8,6.03,176.6,2.12
sugarcane,406.8,27.34,66.3,7.37,124.8,42.264
soybean,701.8,11.68,39.3,6.81,168.5,1.196
sugarcane,357.1,17.81,51.1,4.63,255.2,36.187
sugarcane,255.1,30.32,57.4,6.74,104.4,39.823
maize,443.3,26.72,63.9,6.18,182.2,2.554
sugarcane,815.6,24.12,93.3,6.93,144.4,41.953
soybean,838.3,28.39,68.6,7.26,184.2,1.73
sugarcane,728.3,34.81,52.4,6.66,97.6,35.371
maize,781.3,23.67,68.3,7.83,158.8,4.549
maize,729.0,25.42,59.7,6.36,238.6,5.73
soybean,439.6,26.16,69.9,7.0,75.0,1.683
rice,708.0,39.35,73.7,7.14,43.6,1.243
rice,800.1,12.4,83.1,6.42,46.7,2.922
sugarcane,788.6,29.1,64.6,7.12,56.3,52.609
wheat,897.2,24.31,89.6,6.02,197.6,2.266
sugarcane,777.1,28.4,78.6,6.16,37.5,40.966
soybean,687.9,21.06,54.4,5.45,126.2,1.484
soybean,867.5,24.71,98.1,6.69,199.5,2.055
soybean,593.4,29.27,69.9,6.76,183.3,2.196
soybean,379.5,43.68,52.5,7.44,119.2,1.805
soybean,559.2,29.85,89.8,7.13,165.3,1.856
maize,413.8,19.91,96.2,6.27,158.6,3.625
rice,431.2,22.46,64.5,5.56,132.1,2.931
soybean,563.9,22.28,57.4,6.85,133.1,1.889
wheat,401.9,14.23,62.4,7.39,328.8,2.295
wheat,523.0,23.02,75.7,7.1,214.7,2.673
wheat,126.6,29.4,84.2,7.37,348.5,1.445
wheat,653.3,17.35,73.6,6.33,110.2,1.177
maize,600.3,31.29,66.5,6.13,143.2,3.973
wheat,395.7,27.93,87.5,5.91,43.4,1.921
soybean,764.8,20.59,60.3,6.46,85.2,1.417
sugarcane,834.4,24.15,80.5,6.44,302.2,72.486
wheat,198.1,34.59,60.7,6.67,108.2,1.426
maize,409.3,29.4,71.5,6.4,303.5,4.013
maize,407.7,25.05,63.3,6.39,50.5,3.353
wheat,365.0,23.57,64.2,5.88,65.7,1.899
sugarcane,807.4,25.46,59.3,7.25,122.7,55.832
wheat,551.5,21.93,85.2,6.56,144.9,2.913
maize,533.9,12.37,54.0,6.36,223.8,1.801
rice,99.0,37.25,53.9,5.9,186.1,2.333
soybean,758.9,25.93,96.8,5.43,116.7,1.746
maize,290.2,27.39,79.7,7.55,139.3,3.609
wheat,615.0,24.65,29.2,6.94,124.5,2.726
soybean,669.3,20.59,56.5,5.2,76.8,1.485
wheat,940.2,23.88,37.8,7.11,79.0,2.476
wheat,272.8,15.4,50.7,7.24,232.2,2.003
rice,0.0,38.66,17.9,6.6,3.7,1.697
soybean,646.0,17.59,62.9,7.78,279.4,1.609
